date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,60.37894736842105,28.036842105263162,495.2105263157895,22.426315789473687,24.389473684210525,62.36842105263158,0.8068421052631579,47.21052631578947,2.1,,
2022-08-05,58.3375,28.212500000000002,507.4166666666667,22.724999999999998,24.879166666666666,53.5,0.7941666666666666,42.75,1.5270833333333333,82.26315789473684,63.0
2022-08-06,51.71666666666667,27.46666666666667,431.9583333333333,22.1375,19.204166666666666,44.166666666666664,0.8775,31.666666666666668,0.9249999999999999,83.83333333333333,62.583333333333336
2022-08-07,89.125,57.62916666666666,944.125,39.291666666666664,42.90833333333333,148.08333333333334,0.6829166666666667,15.458333333333334,1.9208333333333334,147.25,76.125
2022-08-08,103.12916666666666,64.52083333333333,1150.5,46.79583333333333,55.06666666666666,122.875,0.69,24.458333333333332,1.6854166666666668,176.75,89.45833333333333
2022-08-09,77.5625,54.0375,849.0,50.87083333333334,45.22083333333333,84.29166666666667,0.5741666666666666,1.375,1.2708333333333333,152.5,88.625
2022-08-10,156.36666666666667,108.3875,1297.5833333333333,65.39166666666667,51.6625,104.79166666666667,0.54875,4.416666666666667,1.3791666666666667,157.66666666666666,101.70833333333333
2022-08-11,122.84583333333332,83.28750000000001,1163.0416666666667,49.07083333333333,52.00833333333333,146.29166666666666,0.545,10.166666666666666,1.5374999999999999,200.41666666666666,120.25
2022-08-12,49.291666666666664,31.21666666666667,605.75,34.49166666666667,32.987500000000004,82.20833333333333,0.37000000000000005,13.583333333333334,1.3375000000000001,138.375,88.66666666666667
2022-08-13,48.94166666666667,32.137499999999996,704.0,35.56666666666667,49.34583333333333,94.0,0.26,3.0833333333333335,1.9541666666666666,99.75,66.125
